State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.55034618079888,6.1,12.8
Bayern,10.28130403868032,-1.7,12.2
Berlin,11.915185601799777,11.6,12.3
Brandenburg,11.53052042719105,10.6,12.0
Bremen,11.39598662207358,11.2,11.5
Hamburg,11.25203679369251,10.9,11.7
Hessen,10.754665589199982,7.6,12.6
Mecklenburg-Vorpommern,10.962129556779438,9.9,11.5
Niedersachsen,11.262591717972507,6.8,12.0
Nordrhein-Westfalen,11.3096331215413,7.5,12.6
Rheinland-Pfalz,10.942168553459119,8.3,12.7
Saarland,11.088923076923077,9.0,12.1
Sachsen-Anhalt,11.48396212672979,6.1,12.2
Sachsen,10.96272438704028,6.7,12.3
Schleswig-Holstein,10.771567788239942,10.0,11.4
Thüringen,10.460791411042946,7.1,12.1
