State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.865076384022425,5.4,12.0
Bayern,9.440228953356085,-1.9,11.5
Berlin,10.833970753655793,10.1,11.2
Brandenburg,10.342302085099167,9.3,11.0
Bremen,10.310702341137123,10.1,10.4
Hamburg,10.130223390275953,9.7,10.6
Hessen,9.923805675714217,6.6,12.2
Mecklenburg-Vorpommern,9.75358422939068,8.9,10.3
Niedersachsen,10.145175845492115,5.4,11.0
Nordrhein-Westfalen,10.333882821421252,6.5,11.9
Rheinland-Pfalz,10.238606289308176,7.5,12.5
Saarland,10.500384615384615,8.4,11.5
Sachsen-Anhalt,10.322563729060452,4.7,11.0
Sachsen,9.940148861646234,5.4,11.4
Schleswig-Holstein,9.701731744254955,9.0,10.3
Thüringen,9.493987730061349,6.2,11.2
