State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.577908899789767,6.2,13.1
Bayern,9.917795790671216,-2.1,12.3
Berlin,11.240832395950507,10.9,11.5
Brandenburg,10.751357857263944,9.8,11.4
Bremen,10.927090301003346,10.7,11.0
Hamburg,10.693561103810774,10.2,11.2
Hessen,10.662561201692256,7.5,12.9
Mecklenburg-Vorpommern,10.214503015997902,9.3,10.8
Niedersachsen,10.783218773720165,6.2,11.6
Nordrhein-Westfalen,11.199270927883347,7.4,12.9
Rheinland-Pfalz,11.178883018867925,8.5,13.1
Saarland,11.523230769230768,9.6,12.5
Sachsen-Anhalt,10.85076474872542,5.5,11.6
Sachsen,10.18929509632224,5.5,11.5
Schleswig-Holstein,10.24853493119115,9.6,10.9
Thüringen,9.977220858895706,6.7,11.4
