State,Mean_Sunshine
DEBW,181.45621864050457
DEBY,174.90134812286686
DEBE,159.53273340832394
DEBB,159.36037633497202
DEHB,145.20602006688964
DEHH,147.5509855453351
DEHE,151.7380234824357
DEMV,153.14534487280358
DENI,142.46808847094545
DENW,145.82373729979798
DERP,164.39691572327044
DESL,169.136
DEST,154.18640932265112
DESN,161.02678962346758
DESH,149.90082307236452
DETH,151.02313496932516
