State,Mean_Sunshine
DEBW,174.26306377014714
DEBY,167.05664675767915
DEBE,182.82890888638923
DEBB,178.17149686387523
DEHB,160.81170568561873
DEHH,163.49185282522996
DEHE,160.7535199885915
DEMV,174.32713961010575
DENI,160.6484439571561
DENW,158.89434895909585
DERP,168.6279094339623
DESL,182.4172307692308
DEST,173.21259529011897
DESN,172.76817535026268
DESH,166.45750312767498
DETH,164.66347239263803
