state,mean_precip
DEBB,45.96167910447762
DEBE,45.024166666666666
DEBW,61.00349765258216
DEBY,61.4950407925408
DEHB,69.16416666666667
DEHE,50.54113095238095
DEHH,70.47583333333334
DEMV,51.07633012820513
DENI,66.98498381877023
DENW,69.9604054054054
DERP,50.29926829268293
DESH,75.12894607843137
DESL,54.45458333333334
DESN,53.579571428571434
DEST,46.49676356589148
DETH,46.68728494623655
