State,Mean_Sunshine
Baden-Württemberg,209.55766222845128
Bayern,206.7875910125142
Berlin,209.1861642294713
Brandenburg,203.8152805560264
Bremen,189.2849498327759
Hamburg,192.87634691195797
Hessen,197.86229975756999
Mecklenburg-Vorpommern,199.37861701197656
Niedersachsen,189.3251623513536
Nordrhein-Westfalen,197.79727988756477
Rheinland-Pfalz,206.1975798742138
Saarland,213.309
Sachsen-Anhalt,201.5242971595047
Sachsen,203.0940345884413
Schleswig-Holstein,194.79199973661682
Thüringen,195.28486503067487
