State,Mean_Sunshine
Baden-Württemberg,193.2345087596356
Bayern,190.51825938566554
Berlin,193.6939257592801
Brandenburg,192.5949279538905
Bremen,172.4324414715719
Hamburg,169.68396846254927
Hessen,178.35460854684604
Mecklenburg-Vorpommern,180.4708846927179
Niedersachsen,171.0503710888083
Nordrhein-Westfalen,171.69593300734925
Rheinland-Pfalz,185.14026163522013
Saarland,192.40300000000002
Sachsen-Anhalt,188.2822675406652
Sachsen,193.10752517513137
Schleswig-Holstein,167.59880160663727
Thüringen,180.22803067484665
