State,Mean_Sunshine
Baden-Württemberg,172.97769866853542
Bayern,168.3732878270762
Berlin,179.20224971878514
Brandenburg,178.10128496355316
Bremen,172.83244147157188
Hamburg,174.14441524310118
Hessen,156.65895802633455
Mecklenburg-Vorpommern,181.7260250021855
Niedersachsen,168.16188960107954
Nordrhein-Westfalen,159.66354346616694
Rheinland-Pfalz,164.11315220125786
Saarland,171.15992307692306
Sachsen-Anhalt,170.79662539451323
Sachsen,164.54345993870405
Schleswig-Holstein,179.1369394877198
Thüringen,154.8169263803681
