State,Mean_Sunshine
Baden-Württemberg,178.99145900490535
Bayern,173.3571032423208
Berlin,183.53880764904386
Brandenburg,180.29157484319376
Bremen,166.19297658862877
Hamburg,165.38173455978975
Hessen,166.30920758663308
Mecklenburg-Vorpommern,178.51863362182007
Niedersachsen,166.27458674200892
Nordrhein-Westfalen,164.34266975082713
Rheinland-Pfalz,171.15925534591196
Saarland,181.2634230769231
Sachsen-Anhalt,174.70381160475844
Sachsen,172.83946475481613
Schleswig-Holstein,174.4864423520116
Thüringen,162.66723926380365
