State,Mean_Sunshine
Baden-Württemberg,217.62016538192012
Bayern,205.5119496587031
Berlin,204.2917885264342
Brandenburg,201.79574843193762
Bremen,200.84515050167226
Hamburg,195.15427069645202
Hessen,200.34878071968436
Mecklenburg-Vorpommern,199.30696302124312
Niedersachsen,194.48040819768912
Nordrhein-Westfalen,198.36547009047518
Rheinland-Pfalz,209.58635471698113
Saarland,213.92588461538463
Sachsen-Anhalt,201.1576547705754
Sachsen,200.30733362521892
Schleswig-Holstein,193.38585632448806
Thüringen,196.95589570552147
