State,Mean_Sunshine
Baden-Württemberg,184.6207091800981
Bayern,185.2103469852105
Berlin,181.02609673790778
Brandenburg,175.27848109849128
Bremen,168.64949832775918
Hamburg,170.8448094612352
Hessen,169.7996672529353
Mecklenburg-Vorpommern,178.45562986275024
Niedersachsen,165.45462174243062
Nordrhein-Westfalen,165.27193218750918
Rheinland-Pfalz,179.09631194968551
Saarland,183.6355769230769
Sachsen-Anhalt,170.4971400825443
Sachsen,171.48359238178634
Schleswig-Holstein,174.66815697636136
Thüringen,169.04469938650308
