State,Mean_Sunshine
Baden-Württemberg,205.0289530483532
Bayern,196.72298634812284
Berlin,193.95849268841394
Brandenburg,192.01426682488557
Bremen,183.36321070234112
Hamburg,183.1419185282523
Hessen,184.27702143841802
Mecklenburg-Vorpommern,187.35084797622167
Niedersachsen,177.97255418739982
Nordrhein-Westfalen,180.23629842180773
Rheinland-Pfalz,191.1579220125786
Saarland,196.18207692307692
Sachsen-Anhalt,189.93462490895845
Sachsen,190.28862740805604
Schleswig-Holstein,185.05040495160335
Thüringen,183.8918588957055
