State,Mean_Sunshine
Baden-Württemberg,174.26306377014714
Bayern,167.05664675767915
Berlin,182.82890888638923
Brandenburg,178.17149686387523
Bremen,160.81170568561873
Hamburg,163.49185282522996
Hessen,160.7535199885915
Mecklenburg-Vorpommern,174.32713961010577
Niedersachsen,160.6484439571561
Nordrhein-Westfalen,158.89434895909585
Rheinland-Pfalz,168.6279094339623
Saarland,182.41723076923077
Sachsen-Anhalt,173.21259529011897
Sachsen,172.76817535026268
Schleswig-Holstein,166.45750312767498
Thüringen,164.66347239263803
