State,Mean_Sunshine
Baden-Württemberg,156.381359495445
Bayern,160.12939988623432
Berlin,166.1923509561305
Brandenburg,166.18613324292252
Bremen,158.02408026755853
Hamburg,155.72838370565046
Hessen,143.79756619289824
Mecklenburg-Vorpommern,166.76797359909085
Niedersachsen,151.42885848022266
Nordrhein-Westfalen,151.0103592656575
Rheinland-Pfalz,147.97105911949686
Saarland,150.298
Sachsen-Anhalt,154.23274581209034
Sachsen,156.10211252189143
Schleswig-Holstein,153.8137420161981
Thüringen,146.46585276073623
