State,Mean_Sunshine
Baden-Württemberg,164.49455080588646
Bayern,161.7025440841866
Berlin,172.48875140607424
Brandenburg,171.7958874385489
Bremen,160.11872909698997
Hamburg,154.38830486202366
Hessen,148.36451014878546
Mecklenburg-Vorpommern,169.66765888626628
Niedersachsen,157.39590326389475
Nordrhein-Westfalen,156.31717857874858
Rheinland-Pfalz,150.04373836477987
Saarland,148.55334615384615
Sachsen-Anhalt,167.60487982520027
Sachsen,164.23957421190894
Schleswig-Holstein,157.23431882531114
Thüringen,155.3750306748466
