State,Mean_Sunshine
Baden-Württemberg,166.91399859845828
Bayern,161.84820108077363
Berlin,169.1586051743532
Brandenburg,164.6455602644516
Bremen,147.1103678929766
Hamburg,141.85663600525623
Hessen,143.91533013262347
Mecklenburg-Vorpommern,157.2427266369438
Niedersachsen,142.24577253942817
Nordrhein-Westfalen,141.48183761309403
Rheinland-Pfalz,147.33475723270442
Saarland,153.39719230769228
Sachsen-Anhalt,160.90307356154406
Sachsen,160.9611372591944
Schleswig-Holstein,147.1764403766379
Thüringen,151.9700490797546
