State,Mean_Sunshine
Baden-Württemberg,161.20358514365805
Bayern,152.31140642775884
Berlin,154.8970753655793
Brandenburg,151.02111883370063
Bremen,146.9732441471572
Hamburg,153.45282522996058
Hessen,146.22794124637545
Mecklenburg-Vorpommern,158.58538770871579
Niedersachsen,146.7514674875601
Nordrhein-Westfalen,146.18914297426286
Rheinland-Pfalz,152.45980377358492
Saarland,157.35565384615384
Sachsen-Anhalt,142.5498324836125
Sachsen,142.65827495621716
Schleswig-Holstein,158.95047079739248
Thüringen,135.6157300613497
