State,Mean_Sunshine
Baden-Württemberg,152.57424526979676
Bayern,147.93777730375427
Berlin,179.31451068616423
Brandenburg,175.09430411934227
Bremen,168.48494983277592
Hamburg,175.93508541392902
Hessen,150.84540571374245
Mecklenburg-Vorpommern,181.47644024827346
Niedersachsen,166.52138820949654
Nordrhein-Westfalen,156.2503089040494
Rheinland-Pfalz,152.70694842767296
Saarland,157.07684615384616
Sachsen-Anhalt,168.7931682447196
Sachsen,159.97352780210156
Schleswig-Holstein,181.5185158359123
Thüringen,148.7844233128834
