State,Mean_Sunshine
Baden-Württemberg,157.67241765942538
Bayern,164.5656598407281
Berlin,177.9168728908886
Brandenburg,170.55982030852684
Bremen,147.67658862876254
Hamburg,164.24980289093298
Hessen,154.615824499691
Mecklenburg-Vorpommern,173.97129119678294
Niedersachsen,156.0292928228051
Nordrhein-Westfalen,150.90815448130473
Rheinland-Pfalz,155.2950389937107
Saarland,154.1199230769231
Sachsen-Anhalt,167.79964068948775
Sachsen,164.44391965849385
Schleswig-Holstein,167.19041943767698
Thüringen,154.50508588957055
