State,Mean_Sunshine
Baden-Württemberg,166.63835178696567
Bayern,161.29202929465302
Berlin,173.83408323959506
Brandenburg,173.3919206645194
Bremen,163.96555183946487
Hamburg,165.80223390275953
Hessen,149.53687312829777
Mecklenburg-Vorpommern,173.56411836699013
Niedersachsen,157.3380513620646
Nordrhein-Westfalen,153.5493075278892
Rheinland-Pfalz,158.09274968553459
Saarland,160.02607692307691
Sachsen-Anhalt,164.8497450837582
Sachsen,166.25870731173384
Schleswig-Holstein,169.18137222624614
Thüringen,155.47206134969326
