State,Mean_Sunshine
Baden-Württemberg,169.2041009110021
Bayern,170.89659414106941
Berlin,169.13430821147355
Brandenburg,167.04322766570604
Bremen,161.95150501672242
Hamburg,163.4059132720105
Hessen,150.51754527736844
Mecklenburg-Vorpommern,174.84756097560975
Niedersachsen,159.79986927553344
Nordrhein-Westfalen,151.56506017040962
Rheinland-Pfalz,152.61247295597485
Saarland,152.79042307692308
Sachsen-Anhalt,165.9620587521243
Sachsen,161.50574649737302
Schleswig-Holstein,170.84262856390333
Thüringen,155.02454601226995
