State,Mean_Sunshine
Baden-Württemberg,171.7217995795375
Bayern,164.4926720705347
Berlin,154.21676040494935
Brandenburg,152.4478318359044
Bremen,139.50635451505016
Hamburg,137.42141918528253
Hessen,146.8899557921757
Mecklenburg-Vorpommern,146.8757321444182
Niedersachsen,138.32220418318292
Nordrhein-Westfalen,143.84732527157203
Rheinland-Pfalz,153.16129308176102
Saarland,159.59234615384614
Sachsen-Anhalt,147.16628793396455
Sachsen,148.01064470227672
Schleswig-Holstein,138.12442878777904
Thüringen,149.73001226993867
