State,Mean_Sunshine
Baden-Württemberg,149.08649754730206
Bayern,148.5345890216155
Berlin,162.26119235095615
Brandenburg,162.09621291744364
Bremen,135.34214046822743
Hamburg,135.08278580814718
Hessen,136.19566478109996
Mecklenburg-Vorpommern,157.51295130693245
Niedersachsen,134.35554946445137
Nordrhein-Westfalen,130.36951658712266
Rheinland-Pfalz,140.5845031446541
Saarland,150.58046153846155
Sachsen-Anhalt,150.10979849478028
Sachsen,150.7686186514886
Schleswig-Holstein,140.96403502995983
Thüringen,141.99197546012272
