State,Mean_Sunshine
Baden-Württemberg,175.57632515767344
Bayern,160.887622298066
Berlin,191.39370078740157
Brandenburg,190.74707577555517
Bremen,168.20066889632108
Hamburg,169.9789750328515
Hessen,163.08012549317866
Mecklenburg-Vorpommern,188.21507998950955
Niedersachsen,169.85013283292574
Nordrhein-Westfalen,172.24776739964278
Rheinland-Pfalz,170.60864905660375
Saarland,181.25473076923078
Sachsen-Anhalt,183.73267783442583
Sachsen,180.89309873029774
Schleswig-Holstein,171.01638901692237
Thüringen,173.04360122699387
