State,Mean_Sunshine
Baden-Württemberg,183.82394674141554
Bayern,183.24900170648465
Berlin,188.51248593925757
Brandenburg,186.22752330903543
Bremen,160.17357859531774
Hamburg,165.57897503285153
Hessen,170.92489423396873
Mecklenburg-Vorpommern,178.59415158667716
Niedersachsen,166.51921860504342
Nordrhein-Westfalen,166.47066729130677
Rheinland-Pfalz,172.43206540880502
Saarland,172.21830769230772
Sachsen-Anhalt,182.8782665695557
Sachsen,185.52564579684767
Schleswig-Holstein,167.5763416079542
Thüringen,178.30384049079754
