State,Mean_Sunshine
Baden-Württemberg,180.49991030133145
Bayern,177.8805076791809
Berlin,165.2230596175478
Brandenburg,163.8082454653331
Bremen,151.7505016722408
Hamburg,149.50998685939553
Hessen,155.4521129438608
Mecklenburg-Vorpommern,161.68587726199843
Niedersachsen,146.72795184279326
Nordrhein-Westfalen,150.79854185576667
Rheinland-Pfalz,168.16219371069184
Saarland,174.86676923076922
Sachsen-Anhalt,157.82469045884923
Sachsen,161.70206326619964
Schleswig-Holstein,155.47499176927636
Thüringen,152.4572699386503
