State,Mean_Sunshine
Baden-Württemberg,160.5065059565522
Bayern,157.2903128555176
Berlin,180.98515185601798
Brandenburg,179.20708933717577
Bremen,151.08361204013377
Hamburg,164.81222076215508
Hessen,153.17862337785806
Mecklenburg-Vorpommern,184.3648876650057
Niedersachsen,156.41736948637936
Nordrhein-Westfalen,154.04057915849265
Rheinland-Pfalz,153.702893081761
Saarland,161.82942307692306
Sachsen-Anhalt,170.27337703326052
Sachsen,172.73643826619966
Schleswig-Holstein,167.51341278725226
Thüringen,155.8109325153374
