State,Mean_Sunshine
Baden-Württemberg,181.45621864050457
Bayern,174.90134812286686
Berlin,159.53273340832394
Brandenburg,159.36037633497202
Bremen,145.20602006688964
Hamburg,147.5509855453351
Hessen,151.7380234824357
Mecklenburg-Vorpommern,153.14534487280358
Niedersachsen,142.46808847094545
Nordrhein-Westfalen,145.82373729979798
Rheinland-Pfalz,164.39691572327044
Saarland,169.136
Sachsen-Anhalt,154.18640932265112
Sachsen,161.02678962346758
Schleswig-Holstein,149.90082307236452
Thüringen,151.02313496932516
