State,Mean_Sunshine
Baden-Württemberg,174.9534071478626
Bayern,172.91532423208193
Berlin,187.27322834645668
Brandenburg,185.85682997118155
Bremen,166.4635451505017
Hamburg,178.2586070959264
Hessen,166.78467462090603
Mecklenburg-Vorpommern,185.93856543404144
Niedersachsen,167.51480560006746
Nordrhein-Westfalen,164.65946476151436
Rheinland-Pfalz,171.11645283018868
Saarland,174.5198846153846
Sachsen-Anhalt,179.171798980335
Sachsen,179.82624781085815
Schleswig-Holstein,182.31732402712845
Thüringen,172.8405337423313
