State,Mean_Sunshine
Baden-Württemberg,165.1069039943938
Bayern,160.83352531285556
Berlin,151.29943757030372
Brandenburg,150.2299813527717
Bremen,143.8254180602007
Hamburg,140.36084099868594
Hessen,144.79993345058708
Mecklenburg-Vorpommern,152.23443482821924
Niedersachsen,141.03821793033651
Nordrhein-Westfalen,144.3936638069862
Rheinland-Pfalz,152.40338113207548
Saarland,158.60053846153843
Sachsen-Anhalt,147.29662053896578
Sachsen,146.3524354203152
Schleswig-Holstein,149.914532165668
Thüringen,143.6943619631902
