State,Mean_Sunshine
Baden-Württemberg,161.62713384723196
Bayern,155.97499857792948
Berlin,149.75748031496062
Brandenburg,149.11709781318868
Bremen,130.7066889632107
Hamburg,130.046123521682
Hessen,134.02658173693968
Mecklenburg-Vorpommern,143.2614301949471
Niedersachsen,128.7968963481488
Nordrhein-Westfalen,126.88150089304015
Rheinland-Pfalz,138.7028477987421
Saarland,144.7070769230769
Sachsen-Anhalt,144.20778344258318
Sachsen,151.02776379159369
Schleswig-Holstein,137.8879502205834
Thüringen,137.65181595092022
