State,Mean_Sunshine
Baden-Württemberg,159.14531184302734
Bayern,160.40598407280999
Berlin,159.37772778402697
Brandenburg,157.43173080183084
Bremen,136.25284280936458
Hamburg,144.8892247043364
Hessen,153.06181965109093
Mecklenburg-Vorpommern,154.61767199930065
Niedersachsen,142.79117188158895
Nordrhein-Westfalen,148.859174889468
Rheinland-Pfalz,151.37172830188678
Saarland,154.71326923076924
Sachsen-Anhalt,154.15331876669092
Sachsen,164.22981611208408
Schleswig-Holstein,145.84173964574964
Thüringen,150.16833128834355
