State,Mean_Sunshine
Baden-Württemberg,186.17473020322353
Bayern,178.33651592719
Berlin,186.02384701912263
Brandenburg,184.84314629598236
Bremen,162.7979933110368
Hamburg,164.40131406044677
Hessen,165.38965631981745
Mecklenburg-Vorpommern,174.56000524521374
Niedersachsen,162.72271864721262
Nordrhein-Westfalen,166.02074195531873
Rheinland-Pfalz,169.31426918238995
Saarland,167.86384615384614
Sachsen-Anhalt,178.7154989075018
Sachsen,185.50476685639228
Schleswig-Holstein,163.74958187923886
Thüringen,171.633018404908
