State,Mean_Sunshine
Baden-Württemberg,159.69147582340577
Bayern,158.74442690557447
Berlin,178.31282339707536
Brandenburg,174.17332768265803
Bremen,166.6086956521739
Hamburg,166.00854139290408
Hessen,156.96214764462616
Mecklenburg-Vorpommern,175.07338928227992
Niedersachsen,162.7162414607405
Nordrhein-Westfalen,159.3047082247533
Rheinland-Pfalz,158.73469685534593
Saarland,163.68203846153847
Sachsen-Anhalt,166.49718378247147
Sachsen,159.46749124343256
Schleswig-Holstein,172.85794429446236
Thüringen,153.0484110429448
