State,Mean_Sunshine
Baden-Württemberg,165.44069236159777
Bayern,171.70298777019343
Berlin,191.5300337457818
Brandenburg,185.12167825055096
Bremen,165.02374581939802
Hamburg,164.34664914586074
Hessen,156.9263012786994
Mecklenburg-Vorpommern,176.25453710988725
Niedersachsen,160.36244834275112
Nordrhein-Westfalen,149.98148625303782
Rheinland-Pfalz,158.57959245283018
Saarland,158.9597307692308
Sachsen-Anhalt,175.8625297402282
Sachsen,183.07329794220666
Schleswig-Holstein,164.64176598406533
Thüringen,167.15509815950918
