State,Mean_Sunshine
Baden-Württemberg,162.8332473721093
Bayern,163.21682167235497
Berlin,163.83115860517438
Brandenburg,159.4138837091032
Bremen,150.76622073578596
Hamburg,147.9934296977661
Hessen,141.8217426439131
Mecklenburg-Vorpommern,158.26841944225896
Niedersachsen,144.89024205110903
Nordrhein-Westfalen,142.95258103241298
Rheinland-Pfalz,146.70606289308176
Saarland,153.79946153846154
Sachsen-Anhalt,150.84223840738042
Sachsen,152.9551937390543
Schleswig-Holstein,154.77637453084873
Thüringen,142.2312944785276
