State,Mean_Sunshine
Baden-Württemberg,198.3151562718991
Bayern,192.8435978384528
Berlin,194.81968503937009
Brandenburg,195.00822512290222
Bremen,166.28327759197325
Hamburg,163.39737187910643
Hessen,179.80413081713175
Mecklenburg-Vorpommern,180.65774543229304
Niedersachsen,166.7237707683225
Nordrhein-Westfalen,173.36672620267618
Rheinland-Pfalz,182.30345157232705
Saarland,184.14911538461538
Sachsen-Anhalt,189.67192522456907
Sachsen,198.83804181260948
Schleswig-Holstein,165.45227497201554
Thüringen,188.04082822085888
