State,Mean_Sunshine
Baden-Württemberg,183.2193328661528
Bayern,179.08227246871445
Berlin,174.28773903262092
Brandenburg,175.0658993049669
Bremen,149.6953177257525
Hamburg,150.68988173455978
Hessen,161.41444597613724
Mecklenburg-Vorpommern,165.85747005857155
Niedersachsen,150.8747005988024
Nordrhein-Westfalen,150.0046233127397
Rheinland-Pfalz,167.28598742138365
Saarland,173.11346153846154
Sachsen-Anhalt,166.80766690944404
Sachsen,175.9680987302977
Schleswig-Holstein,155.51369592414565
Thüringen,163.53941717791412
