State,Mean_Sunshine
Baden-Württemberg,143.8348899789769
Bayern,137.99993742889646
Berlin,147.903487064117
Brandenburg,149.2373215799288
Bremen,131.75351170568564
Hamburg,133.99737187910645
Hessen,131.59142938631933
Mecklenburg-Vorpommern,148.9778651980068
Niedersachsen,129.42976933457032
Nordrhein-Westfalen,128.8004655520745
Rheinland-Pfalz,136.7037433962264
Saarland,140.9681153846154
Sachsen-Anhalt,136.20949259529013
Sachsen,135.64040608581433
Schleswig-Holstein,132.81789030091525
Thüringen,131.6216380368098
