State,Mean_Sunshine
Baden-Württemberg,178.93418640504555
Bayern,175.62616751990902
Berlin,177.94049493813273
Brandenburg,179.90241396846923
Bremen,158.7735785953177
Hamburg,153.74113009198422
Hessen,159.19586442933877
Mecklenburg-Vorpommern,171.38032170644288
Niedersachsen,157.87991060133254
Nordrhein-Westfalen,160.0182180189149
Rheinland-Pfalz,166.89270440251573
Saarland,179.6087692307692
Sachsen-Anhalt,170.48514688031077
Sachsen,180.51940126970229
Schleswig-Holstein,159.11359057088296
Thüringen,158.19106748466257
