State,Mean_Sunshine
Baden-Württemberg,202.07591310441484
Bayern,202.62878839590442
Berlin,217.20168728908885
Brandenburg,215.21423292083404
Bremen,202.04682274247492
Hamburg,196.93455978975035
Hessen,195.60269525122402
Mecklenburg-Vorpommern,210.80895183145375
Niedersachsen,196.12076621405075
Nordrhein-Westfalen,194.09836031973765
Rheinland-Pfalz,199.4406540880503
Saarland,204.684
Sachsen-Anhalt,208.60098567613497
Sachsen,203.1028732486865
Schleswig-Holstein,194.78187923882268
Thüringen,193.9334846625767
