State,Mean_Sunshine
Baden-Württemberg,185.1076271899089
Bayern,182.44808020477817
Berlin,174.0506186726659
Brandenburg,172.42568570944226
Bremen,152.27123745819398
Hamburg,155.88567674113008
Hessen,161.47545752721396
Mecklenburg-Vorpommern,165.75620246525042
Niedersachsen,153.76056127182255
Nordrhein-Westfalen,152.78495007759201
Rheinland-Pfalz,170.07499874213838
Saarland,175.10892307692305
Sachsen-Anhalt,169.0156737072105
Sachsen,171.48235004378287
Schleswig-Holstein,165.2753868440113
Thüringen,163.7568343558282
