State,Mean_Sunshine
Baden-Württemberg,153.2666040644709
Bayern,150.1998193970421
Berlin,154.9538807649044
Brandenburg,158.4308526868961
Bremen,151.09464882943143
Hamburg,157.21484888304863
Hessen,140.9028378571089
Mecklenburg-Vorpommern,170.17704344785383
Niedersachsen,148.40025301509658
Nordrhein-Westfalen,141.58555617368899
Rheinland-Pfalz,146.99917484276727
Saarland,148.82753846153847
Sachsen-Anhalt,151.83433843165815
Sachsen,148.1730078809107
Schleswig-Holstein,162.3066306709686
Thüringen,139.4861226993865
