State,Mean_Sunshine
Baden-Württemberg,165.8209081990189
Bayern,164.91271899886235
Berlin,166.09088863892012
Brandenburg,163.385326326496
Bremen,147.09331103678932
Hamburg,154.7666228646518
Hessen,152.071036744783
Mecklenburg-Vorpommern,163.19090392516827
Niedersachsen,151.33000969891205
Nordrhein-Westfalen,149.84194653471144
Rheinland-Pfalz,158.83409811320755
Saarland,162.03223076923078
Sachsen-Anhalt,158.4990191794125
Sachsen,158.8726247810858
Schleswig-Holstein,158.3277671692895
Thüringen,154.6207300613497
