system:index,mean_NDVI,month,time,year,.geo
54,-0.21625556532387274,Jan,599616000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,-0.14970641377261643,Feb,602294400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,-0.1885736891143427,Mar,604713600000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,-0.3098928943673479,May,609984000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,-0.3104005107965867,Jun,612662400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,-0.2680230502704384,Jul,615254400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,-0.19403997930518152,Aug,617932800000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,-0.20553231559036603,Sep,620611200000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,-0.21593944734490336,Oct,623203200000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,-0.21682136876282665,Nov,625881600000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,-0.21064979408320564,Jan,631152000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,-0.15535582760624891,Feb,633830400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,-0.14981149231013507,Mar,636249600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,-0.1895874418897643,Apr,638928000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,-0.3023996189105128,May,641520000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,-0.29522058140489915,Jun,644198400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,-0.27972282298437884,Jul,646790400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,-0.19594050460607107,Aug,649468800000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,-0.2767206590647541,Sep,652147200000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,-0.21691570334081978,Oct,654739200000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,-0.38437492986829175,Nov,657417600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,-0.3083223947865926,Dec,660009600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,-0.19725443872232348,Jan,662688000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,-0.29831314951717636,Feb,665366400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,-0.08107179342289728,Mar,667785600000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,-0.16045486846627752,Apr,670464000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,-0.2618923734295125,May,673056000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,-0.32764465959787004,Jun,675734400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,-0.31810246390705943,Jul,678326400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,-0.23599169581799992,Aug,681004800000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,-0.17902574408141167,Sep,683683200000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,-0.1854457391266829,Oct,686275200000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,-0.2904089182782325,Dec,691545600000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,-0.3949225584895359,Jan,694224000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,-0.36794817536201796,Feb,696902400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,-0.12252329372121046,Mar,699408000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,-0.15448486517502744,Apr,702086400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,-0.3039062186861743,May,704678400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,-0.3255894028797374,Jun,707356800000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,-0.2452412805313514,Jul,709948800000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,-0.19507390927005613,Aug,712627200000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,-0.2317723888831996,Sep,715305600000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,-0.2143783283468219,Oct,717897600000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,-0.27628822546685294,Nov,720576000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,-0.2570362336926786,Dec,723168000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,-0.4779924185725503,Jan,725846400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,-0.3197670932768987,Feb,728524800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,-0.13514524082416818,Mar,730944000000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,-0.22587000329184276,Apr,733622400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,-0.2786375617520067,May,736214400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,-0.32281527314068764,Jun,738892800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,-0.298927202438691,Jul,741484800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,-0.25565875081138373,Aug,744163200000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
