system:index,mean_NDVI,month,time,year,.geo
0,0.40509226325698333,Jan,1420070400000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.412995792654547,Feb,1422748800000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.39395489600082767,Mar,1425168000000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.507691623793521,Apr,1427846400000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5675432257929076,May,1430438400000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.6157593564125735,Jun,1433116800000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5453436164877455,Jul,1435708800000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5365239599999089,Aug,1438387200000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5284760631741142,Sep,1441065600000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5308520087361729,Oct,1443657600000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.4351106993004523,Nov,1446336000000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3887676924589832,Dec,1448928000000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.3887545978612997,Jan,1451606400000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3987607714534981,Feb,1454284800000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.42397433958609987,Mar,1456790400000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5191272128892628,Apr,1459468800000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5876388577623161,May,1462060800000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6346382474613204,Jun,1464739200000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6294298734034656,Jul,1467331200000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5683534161632198,Aug,1470009600000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5232115684694498,Sep,1472688000000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.40724445569984796,Nov,1477958400000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3824111743670496,Dec,1480550400000,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
