time,lat,lon,precip,state
2011-01-01,51.625,12.875,46.27,DESN
2011-01-01,51.375,12.375,51.66,DESN
2011-01-01,51.375,12.625,55.01,DESN
2011-01-01,51.375,12.875,51.26,DESN
2011-01-01,51.375,13.125,47.11,DESN
2011-01-01,51.375,13.375,46.47,DESN
2011-01-01,51.375,14.125,48.52,DESN
2011-01-01,51.375,14.375,46.68,DESN
2011-01-01,51.375,14.625,51.18,DESN
2011-01-01,51.375,14.875,54.77,DESN
2011-01-01,51.125,12.375,52.19,DESN
2011-01-01,51.125,12.625,59.82,DESN
2011-01-01,51.125,12.875,62.7,DESN
2011-01-01,51.125,13.125,58.24,DESN
2011-01-01,51.125,13.375,54.7,DESN
2011-01-01,51.125,13.625,53.62,DESN
2011-01-01,51.125,13.875,56.96,DESN
2011-01-01,51.125,14.125,62.35,DESN
2011-01-01,51.125,14.375,59.43,DESN
2011-01-01,51.125,14.625,53.25,DESN
2011-01-01,51.125,14.875,52.0,DESN
2011-01-01,50.875,12.625,61.53,DESN
2011-01-01,50.875,12.875,72.98,DESN
2011-01-01,50.875,13.125,71.15,DESN
2011-01-01,50.875,13.375,73.48,DESN
2011-01-01,50.875,13.625,71.35,DESN
2011-01-01,50.875,13.875,61.4,DESN
2011-01-01,50.875,14.125,60.4,DESN
2011-01-01,50.875,14.625,57.76,DESN
2011-01-01,50.625,12.375,66.0,DESN
2011-01-01,50.625,12.625,75.04,DESN
2011-01-01,50.625,12.875,79.87,DESN
2011-01-01,50.625,13.125,81.83,DESN
2011-01-01,50.375,12.125,65.01,DESN
2011-01-01,50.375,12.375,80.25,DESN
2011-02-01,51.625,12.875,11.66,DESN
2011-02-01,51.375,12.375,16.27,DESN
2011-02-01,51.375,12.625,15.94,DESN
2011-02-01,51.375,12.875,15.05,DESN
2011-02-01,51.375,13.125,11.44,DESN
2011-02-01,51.375,13.375,10.19,DESN
2011-02-01,51.375,14.125,13.36,DESN
2011-02-01,51.375,14.375,12.08,DESN
2011-02-01,51.375,14.625,14.97,DESN
2011-02-01,51.375,14.875,18.06,DESN
2011-02-01,51.125,12.375,16.36,DESN
2011-02-01,51.125,12.625,19.28,DESN
2011-02-01,51.125,12.875,19.82,DESN
2011-02-01,51.125,13.125,15.62,DESN
2011-02-01,51.125,13.375,12.81,DESN
2011-02-01,51.125,13.625,12.7,DESN
2011-02-01,51.125,13.875,15.47,DESN
2011-02-01,51.125,14.125,18.09,DESN
2011-02-01,51.125,14.375,15.61,DESN
2011-02-01,51.125,14.625,13.35,DESN
2011-02-01,51.125,14.875,15.84,DESN
2011-02-01,50.875,12.625,17.74,DESN
2011-02-01,50.875,12.875,19.87,DESN
2011-02-01,50.875,13.125,16.87,DESN
2011-02-01,50.875,13.375,17.61,DESN
2011-02-01,50.875,13.625,20.29,DESN
2011-02-01,50.875,13.875,19.01,DESN
2011-02-01,50.875,14.125,17.32,DESN
2011-02-01,50.875,14.625,14.01,DESN
2011-02-01,50.625,12.375,17.67,DESN
2011-02-01,50.625,12.625,20.71,DESN
2011-02-01,50.625,12.875,20.61,DESN
2011-02-01,50.625,13.125,18.6,DESN
2011-02-01,50.375,12.125,18.07,DESN
2011-02-01,50.375,12.375,21.41,DESN
2011-03-01,51.625,12.875,11.59,DESN
2011-03-01,51.375,12.375,10.16,DESN
2011-03-01,51.375,12.625,9.88,DESN
2011-03-01,51.375,12.875,12.9,DESN
2011-03-01,51.375,13.125,15.3,DESN
2011-03-01,51.375,13.375,14.85,DESN
2011-03-01,51.375,14.125,29.32,DESN
2011-03-01,51.375,14.375,32.49,DESN
2011-03-01,51.375,14.625,36.11,DESN
2011-03-01,51.375,14.875,36.69,DESN
2011-03-01,51.125,12.375,9.39,DESN
2011-03-01,51.125,12.625,8.42,DESN
2011-03-01,51.125,12.875,12.09,DESN
2011-03-01,51.125,13.125,15.01,DESN
2011-03-01,51.125,13.375,16.72,DESN
2011-03-01,51.125,13.625,22.75,DESN
2011-03-01,51.125,13.875,29.42,DESN
2011-03-01,51.125,14.125,34.5,DESN
2011-03-01,51.125,14.375,35.2,DESN
2011-03-01,51.125,14.625,32.1,DESN
2011-03-01,51.125,14.875,33.45,DESN
2011-03-01,50.875,12.625,10.3,DESN
2011-03-01,50.875,12.875,14.06,DESN
2011-03-01,50.875,13.125,15.71,DESN
2011-03-01,50.875,13.375,23.53,DESN
2011-03-01,50.875,13.625,31.38,DESN
2011-03-01,50.875,13.875,32.82,DESN
2011-03-01,50.875,14.125,32.14,DESN
2011-03-01,50.875,14.625,29.5,DESN
2011-03-01,50.625,12.375,12.66,DESN
2011-03-01,50.625,12.625,15.7,DESN
2011-03-01,50.625,12.875,16.69,DESN
2011-03-01,50.625,13.125,20.08,DESN
2011-03-01,50.375,12.125,12.35,DESN
2011-03-01,50.375,12.375,13.14,DESN
2011-04-01,51.625,12.875,26.69,DESN
2011-04-01,51.375,12.375,23.47,DESN
2011-04-01,51.375,12.625,28.0,DESN
2011-04-01,51.375,12.875,29.83,DESN
2011-04-01,51.375,13.125,28.94,DESN
2011-04-01,51.375,13.375,29.36,DESN
2011-04-01,51.375,14.125,32.67,DESN
2011-04-01,51.375,14.375,28.69,DESN
2011-04-01,51.375,14.625,26.57,DESN
2011-04-01,51.375,14.875,25.6,DESN
2011-04-01,51.125,12.375,30.1,DESN
2011-04-01,51.125,12.625,32.57,DESN
2011-04-01,51.125,12.875,33.24,DESN
2011-04-01,51.125,13.125,35.86,DESN
2011-04-01,51.125,13.375,42.75,DESN
2011-04-01,51.125,13.625,45.15,DESN
2011-04-01,51.125,13.875,44.95,DESN
2011-04-01,51.125,14.125,44.12,DESN
2011-04-01,51.125,14.375,38.42,DESN
2011-04-01,51.125,14.625,32.75,DESN
2011-04-01,51.125,14.875,28.41,DESN
2011-04-01,50.875,12.625,34.8,DESN
2011-04-01,50.875,12.875,41.47,DESN
2011-04-01,50.875,13.125,46.87,DESN
2011-04-01,50.875,13.375,57.47,DESN
2011-04-01,50.875,13.625,59.81,DESN
2011-04-01,50.875,13.875,51.88,DESN
2011-04-01,50.875,14.125,48.59,DESN
2011-04-01,50.875,14.625,30.82,DESN
2011-04-01,50.625,12.375,32.94,DESN
2011-04-01,50.625,12.625,43.54,DESN
2011-04-01,50.625,12.875,47.78,DESN
2011-04-01,50.625,13.125,51.46,DESN
2011-04-01,50.375,12.125,30.94,DESN
2011-04-01,50.375,12.375,38.34,DESN
2011-05-01,51.625,12.875,27.49,DESN
2011-05-01,51.375,12.375,35.02,DESN
2011-05-01,51.375,12.625,33.06,DESN
2011-05-01,51.375,12.875,29.38,DESN
2011-05-01,51.375,13.125,23.99,DESN
2011-05-01,51.375,13.375,19.04,DESN
2011-05-01,51.375,14.125,42.64,DESN
2011-05-01,51.375,14.375,44.9,DESN
2011-05-01,51.375,14.625,39.6,DESN
2011-05-01,51.375,14.875,34.11,DESN
2011-05-01,51.125,12.375,55.73,DESN
2011-05-01,51.125,12.625,50.03,DESN
2011-05-01,51.125,12.875,36.83,DESN
2011-05-01,51.125,13.125,24.45,DESN
2011-05-01,51.125,13.375,20.11,DESN
2011-05-01,51.125,13.625,30.22,DESN
2011-05-01,51.125,13.875,41.62,DESN
2011-05-01,51.125,14.125,45.29,DESN
2011-05-01,51.125,14.375,48.75,DESN
2011-05-01,51.125,14.625,48.99,DESN
2011-05-01,51.125,14.875,46.19,DESN
2011-05-01,50.875,12.625,63.44,DESN
2011-05-01,50.875,12.875,52.08,DESN
2011-05-01,50.875,13.125,44.71,DESN
2011-05-01,50.875,13.375,53.94,DESN
2011-05-01,50.875,13.625,62.21,DESN
2011-05-01,50.875,13.875,58.96,DESN
2011-05-01,50.875,14.125,55.76,DESN
2011-05-01,50.875,14.625,53.88,DESN
2011-05-01,50.625,12.375,65.38,DESN
2011-05-01,50.625,12.625,67.09,DESN
2011-05-01,50.625,12.875,70.42,DESN
2011-05-01,50.625,13.125,80.08,DESN
2011-05-01,50.375,12.125,56.18,DESN
2011-05-01,50.375,12.375,59.56,DESN
2011-06-01,51.625,12.875,49.12,DESN
2011-06-01,51.375,12.375,58.74,DESN
2011-06-01,51.375,12.625,52.72,DESN
2011-06-01,51.375,12.875,52.09,DESN
2011-06-01,51.375,13.125,50.35,DESN
2011-06-01,51.375,13.375,46.73,DESN
2011-06-01,51.375,14.125,49.71,DESN
2011-06-01,51.375,14.375,50.59,DESN
2011-06-01,51.375,14.625,57.54,DESN
2011-06-01,51.375,14.875,54.8,DESN
2011-06-01,51.125,12.375,65.93,DESN
2011-06-01,51.125,12.625,66.21,DESN
2011-06-01,51.125,12.875,60.11,DESN
2011-06-01,51.125,13.125,49.95,DESN
2011-06-01,51.125,13.375,44.91,DESN
2011-06-01,51.125,13.625,46.24,DESN
2011-06-01,51.125,13.875,46.79,DESN
2011-06-01,51.125,14.125,57.58,DESN
2011-06-01,51.125,14.375,72.65,DESN
2011-06-01,51.125,14.625,71.94,DESN
2011-06-01,51.125,14.875,62.64,DESN
2011-06-01,50.875,12.625,73.41,DESN
2011-06-01,50.875,12.875,76.04,DESN
2011-06-01,50.875,13.125,70.47,DESN
2011-06-01,50.875,13.375,66.96,DESN
2011-06-01,50.875,13.625,65.72,DESN
2011-06-01,50.875,13.875,62.87,DESN
2011-06-01,50.875,14.125,66.71,DESN
2011-06-01,50.875,14.625,84.59,DESN
2011-06-01,50.625,12.375,79.42,DESN
2011-06-01,50.625,12.625,82.6,DESN
2011-06-01,50.625,12.875,82.58,DESN
2011-06-01,50.625,13.125,83.96,DESN
2011-06-01,50.375,12.125,72.71,DESN
