State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.628330763840225,5.3,12.2
Bayern,8.918889362912399,-2.2,11.2
Berlin,10.401912260967379,9.6,11.0
Brandenburg,9.928153924393964,9.1,10.6
Bremen,10.090635451505015,9.9,10.2
Hamburg,9.94862023653088,9.5,10.2
Hessen,9.69985739411513,6.7,11.9
Mecklenburg-Vorpommern,9.436559139784947,8.4,10.1
Niedersachsen,9.983391667369487,5.4,10.9
Nordrhein-Westfalen,10.37108306737329,6.6,12.1
Rheinland-Pfalz,10.184377358490567,7.6,12.1
Saarland,10.460884615384616,8.5,11.5
Sachsen-Anhalt,9.994294731731003,5.1,10.7
Sachsen,9.38565017513135,5.3,10.8
Schleswig-Holstein,9.410943570158688,8.7,10.1
Thüringen,9.125104294478527,6.2,10.7
