State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.268675543097407,4.7,11.4
Bayern,8.886284129692832,-3.1,10.9
Berlin,10.442857142857143,9.8,10.9
Brandenburg,9.98287845397525,9.2,10.6
Bremen,10.090635451505017,9.9,10.1
Hamburg,9.916819973718791,9.5,10.3
Hessen,9.452597803869374,6.3,11.6
Mecklenburg-Vorpommern,9.615477751551708,8.8,10.1
Niedersachsen,9.929859998313232,5.4,10.7
Nordrhein-Westfalen,10.09373700699792,6.2,11.7
Rheinland-Pfalz,9.746772327044026,7.1,11.7
Saarland,9.899807692307693,7.8,10.8
Sachsen-Anhalt,10.082529740228212,4.6,10.8
Sachsen,9.372433231173378,4.8,10.6
Schleswig-Holstein,9.603279120300257,8.9,10.2
Thüringen,9.02883435582822,5.7,10.8
