State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.90506797477225,3.6,12.0
Bayern,8.428292093287826,-3.8,10.7
Berlin,9.86872890888639,9.4,10.2
Brandenburg,9.510177996270553,8.5,10.0
Bremen,9.590635451505017,9.4,9.6
Hamburg,9.575558475689881,8.9,9.9
Hessen,8.9766126348814,5.4,11.1
Mecklenburg-Vorpommern,8.898474517003233,7.8,9.7
Niedersachsen,9.481260015180906,4.5,10.2
Nordrhein-Westfalen,9.69791819166691,5.3,11.5
Rheinland-Pfalz,9.257272955974843,6.3,11.2
Saarland,9.484115384615384,7.2,10.8
Sachsen-Anhalt,9.588448652585578,3.8,10.4
Sachsen,8.890367775831873,4.0,10.3
Schleswig-Holstein,8.994403107921249,8.4,9.6
Thüringen,8.53498773006135,4.7,10.3
