State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,7.654200420462508,2.9,10.4
Bayern,6.972020762229807,-4.3,8.9
Berlin,7.930708661417323,7.2,8.7
Brandenburg,7.543756568909985,6.5,8.0
Bremen,7.873244147157189,7.7,8.0
Hamburg,7.804336399474376,7.2,8.3
Hessen,7.429966249940581,4.1,9.8
Mecklenburg-Vorpommern,7.084465425299415,6.2,7.7
Niedersachsen,7.727637682381716,2.7,8.9
Nordrhein-Westfalen,8.22802974848476,4.2,10.1
Rheinland-Pfalz,7.914847798742137,5.2,9.8
Saarland,8.322423076923078,6.1,10.0
Sachsen-Anhalt,7.54177713037145,2.5,9.0
Sachsen,6.9888627408056045,2.5,8.7
Schleswig-Holstein,7.314486073615591,6.7,7.9
Thüringen,6.637803680981595,3.5,8.4
