State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,7.396201822004205,2.6,10.4
Bayern,6.728677474402729,-4.5,8.6
Berlin,8.403599550056244,8.0,9.4
Brandenburg,7.897443634514324,6.9,8.5
Bremen,7.8658862876254165,7.7,7.9
Hamburg,7.97293035479632,7.2,8.5
Hessen,7.290873223368351,4.0,9.6
Mecklenburg-Vorpommern,7.241520237783023,6.2,8.0
Niedersachsen,7.803160580247955,2.8,8.9
Nordrhein-Westfalen,8.03344654935145,4.1,10.0
Rheinland-Pfalz,7.710379874213836,5.0,9.6
Saarland,8.140615384615383,5.8,9.7
Sachsen-Anhalt,7.8834814275309535,2.3,9.3
Sachsen,7.326707530647987,2.6,9.1
Schleswig-Holstein,7.359926252716139,6.7,8.0
Thüringen,6.757067484662577,3.4,8.7
