State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.818999299229151,4.2,11.2
Bayern,8.327562571103526,-3.5,10.5
Berlin,10.152643419572552,9.8,10.5
Brandenburg,9.663261569757585,8.9,10.3
Bremen,9.868896321070235,9.7,9.9
Hamburg,9.773587385019711,9.4,10.2
Hessen,8.992204211627131,5.8,11.1
Mecklenburg-Vorpommern,9.44526619459743,8.7,10.1
Niedersachsen,9.689506198869866,4.9,10.4
Nordrhein-Westfalen,9.778104412496706,5.8,11.4
Rheinland-Pfalz,9.449398742138364,6.9,11.2
Saarland,9.724538461538463,7.7,10.7
Sachsen-Anhalt,9.642966739499878,4.2,10.4
Sachsen,8.873620840630474,4.2,10.2
Schleswig-Holstein,9.497675643642589,8.9,10.1
Thüringen,8.457987730061351,5.0,10.1
