State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.869978976874561,3.8,11.7
Bayern,8.339717007963594,-4.0,10.5
Berlin,9.910911136107986,9.4,10.7
Brandenburg,9.500637396168845,8.6,10.0
Bremen,9.665886287625419,9.5,9.7
Hamburg,9.648620236530881,9.1,10.1
Hessen,9.054503969197128,5.5,11.3
Mecklenburg-Vorpommern,8.994680479062854,8.0,9.5
Niedersachsen,9.505958505524163,4.3,10.3
Nordrhein-Westfalen,9.75066612010658,5.4,11.7
Rheinland-Pfalz,9.3570213836478,6.6,11.3
Saarland,9.610846153846154,7.5,11.3
Sachsen-Anhalt,9.566307356154406,3.7,10.9
Sachsen,8.767009632224168,3.7,10.7
Schleswig-Holstein,9.083044709290842,8.4,9.6
Thüringen,8.46520245398773,4.8,10.5
