State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.36202382620883,5.8,12.8
Bayern,9.906331058020479,-2.4,12.2
Berlin,11.284251968503938,10.4,11.7
Brandenburg,10.83039159179522,9.8,11.5
Bremen,10.946822742474916,10.7,11.0
Hamburg,10.676741130091983,10.3,11.0
Hessen,10.533227171174596,7.3,12.9
Mecklenburg-Vorpommern,10.201691581431943,9.3,10.9
Niedersachsen,10.727416294172219,6.0,11.6
Nordrhein-Westfalen,11.011223025795685,7.2,12.7
Rheinland-Pfalz,10.840900628930818,8.2,12.8
Saarland,11.111653846153846,9.1,12.1
Sachsen-Anhalt,10.881544064093228,5.4,11.6
Sachsen,10.304334500875656,5.7,11.6
Schleswig-Holstein,10.176144070586686,9.4,10.9
Thüringen,9.918484662576686,6.7,11.5
