State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.456591450595656,4.4,12.6
Bayern,8.772293799772468,-2.9,11.6
Berlin,10.035208098987626,9.2,11.0
Brandenburg,9.506946940159349,8.6,10.2
Bremen,9.611036789297659,9.5,9.8
Hamburg,9.666622864651773,9.2,10.0
Hessen,9.528083852260304,6.2,11.7
Mecklenburg-Vorpommern,9.070478188652855,8.2,9.7
Niedersachsen,9.66684237159484,4.9,10.6
Nordrhein-Westfalen,10.154352472696397,6.2,12.4
Rheinland-Pfalz,10.093559748427673,7.4,11.9
Saarland,10.567615384615385,8.6,11.5
Sachsen-Anhalt,9.638795824229183,4.7,10.3
Sachsen,9.020107267950964,4.6,10.5
Schleswig-Holstein,9.21201027194311,8.6,9.7
Thüringen,8.754380368098161,5.6,10.2
