State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.797076384022427,4.0,11.8
Bayern,8.149507963594994,-3.3,10.7
Berlin,9.721709786276717,9.3,10.0
Brandenburg,9.24612307170707,8.3,9.9
Bremen,9.491304347826087,9.3,9.5
Hamburg,9.489487516425756,8.8,10.0
Hessen,8.880976374958406,5.8,11.1
Mecklenburg-Vorpommern,8.77970102281668,8.0,9.6
Niedersachsen,9.357122374968371,4.4,10.1
Nordrhein-Westfalen,9.655664216906276,5.7,11.6
Rheinland-Pfalz,9.258827672955976,6.7,11.0
Saarland,9.687615384615386,7.3,11.0
Sachsen-Anhalt,9.264671036659381,4.0,9.8
Sachsen,8.45893169877408,4.0,9.9
Schleswig-Holstein,8.961124646078886,8.4,9.5
Thüringen,8.24877300613497,4.9,9.8
