State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.530483531885073,4.4,12.6
Bayern,8.993101535836178,-3.0,11.3
Berlin,10.2,9.6,11.1
Brandenburg,9.757311408713342,9.0,10.3
Bremen,9.992307692307692,9.9,10.1
Hamburg,9.94862023653088,9.5,10.3
Hessen,9.569976707705472,6.2,11.7
Mecklenburg-Vorpommern,9.42084972462628,8.7,9.9
Niedersachsen,9.884595597537322,4.7,10.7
Nordrhein-Westfalen,10.29560507129681,6.2,12.4
Rheinland-Pfalz,10.03206037735849,7.3,11.7
Saarland,10.281346153846155,8.2,11.6
Sachsen-Anhalt,9.701077931536782,4.5,10.4
Sachsen,9.19359128721541,4.6,10.5
Schleswig-Holstein,9.61883189570027,9.0,10.1
Thüringen,8.84616564417178,5.4,10.5
