State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.857283812193414,5.3,12.1
Bayern,9.515777872582479,-2.6,11.7
Berlin,11.5289088863892,11.1,11.8
Brandenburg,11.056768943888798,10.1,11.7
Bremen,10.854849498327761,10.7,10.9
Hamburg,10.642312746386335,10.2,11.0
Hessen,10.143147787232019,7.0,12.4
Mecklenburg-Vorpommern,10.446476964769648,9.5,10.9
Niedersachsen,10.668775828624442,6.0,11.5
Nordrhein-Westfalen,10.734936901589904,7.0,12.4
Rheinland-Pfalz,10.451330817610062,8.0,12.4
Saarland,10.723038461538462,8.8,11.7
Sachsen-Anhalt,10.932158290847292,5.3,11.7
Sachsen,10.367786777583188,5.6,11.7
Schleswig-Holstein,10.183248831237242,9.5,10.9
Thüringen,9.793693251533742,6.5,11.5
