State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.030887175893483,3.7,12.0
Bayern,8.478508248009101,-3.8,10.8
Berlin,10.510236220472441,9.9,10.9
Brandenburg,10.070008476012882,9.2,10.7
Bremen,10.390635451505018,10.2,10.4
Hamburg,10.393429697766097,9.7,10.9
Hessen,9.450064172648192,5.9,11.6
Mecklenburg-Vorpommern,9.55505726025002,8.5,10.3
Niedersachsen,10.220414101374717,5.0,11.2
Nordrhein-Westfalen,10.346593271454923,6.0,12.1
Rheinland-Pfalz,9.671094339622643,5.8,11.5
Saarland,9.852230769230767,7.5,11.1
Sachsen-Anhalt,10.091769847050255,4.3,10.7
Sachsen,9.164043345008757,4.2,10.7
Schleswig-Holstein,9.658451307038915,8.9,10.4
Thüringen,8.849134969325153,5.1,10.5
