State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.025631394533987,4.1,11.9
Bayern,8.458225255972696,-2.9,10.6
Berlin,10.576940382452195,10.0,11.4
Brandenburg,10.153761654517716,9.3,10.6
Bremen,10.063879598662208,9.9,10.1
Hamburg,10.184888304862023,9.6,10.8
Hessen,9.390126919237533,6.4,11.4
Mecklenburg-Vorpommern,9.70006556517178,9.0,10.1
Niedersachsen,9.988302268702032,5.5,10.9
Nordrhein-Westfalen,10.265569642491144,6.5,12.4
Rheinland-Pfalz,9.670188679245284,7.1,11.6
Saarland,9.926076923076923,7.8,11.6
Sachsen-Anhalt,10.13099781500364,5.1,11.6
Sachsen,9.50252298598949,5.1,11.4
Schleswig-Holstein,9.60160005267663,9.0,10.2
Thüringen,8.940993865030675,5.9,10.8
