State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.680367203924316,5.8,13.1
Bayern,10.076956769055744,-2.4,12.4
Berlin,11.2710911136108,10.9,11.6
Brandenburg,10.885448381081538,10.0,11.5
Bremen,11.052842809364547,10.8,11.1
Hamburg,10.775032851511169,10.4,11.2
Hessen,10.688054380377428,7.4,12.8
Mecklenburg-Vorpommern,10.316631698575051,9.4,10.9
Niedersachsen,10.889257400691577,6.2,11.7
Nordrhein-Westfalen,11.22015049922408,7.3,12.8
Rheinland-Pfalz,11.11565786163522,8.6,13.0
Saarland,11.386807692307691,9.3,12.4
Sachsen-Anhalt,11.026938577324593,5.4,11.8
Sachsen,10.456923161120843,5.6,11.8
Schleswig-Holstein,10.293902679923619,9.6,10.9
Thüringen,10.13357055214724,6.7,11.8
