State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,7.400103714085493,2.6,10.3
Bayern,6.707299488054607,-4.4,9.3
Berlin,7.782452193475816,7.4,8.1
Brandenburg,7.367058823529411,6.5,7.9
Bremen,7.652508361204014,7.5,7.7
Hamburg,7.618659658344284,7.0,7.9
Hessen,7.223567999239436,3.9,9.5
Mecklenburg-Vorpommern,6.934854445318647,6.2,7.7
Niedersachsen,7.469617103820528,2.6,8.3
Nordrhein-Westfalen,7.940382982461276,3.9,10.0
Rheinland-Pfalz,7.795416352201259,5.1,9.6
Saarland,8.291461538461538,5.9,9.8
Sachsen-Anhalt,7.287161932507891,2.5,7.8
Sachsen,6.631370402802101,2.6,8.0
Schleswig-Holstein,7.1657338513202085,6.6,7.7
Thüringen,6.38096319018405,3.1,8.1
